Country	Value
DK	1.42
DE	1.76
AT	1.71
SE	1.78
ES	1.85
FI	1.62
NL	1.57
SI	1.78
PT	1.99
LU	1.93
HU	2.17
SK	1.88
FR	2.11
IT	2.35
IE	1.59
BE	1.92
UK	1.75
EE	2.02
MT	1.85
LT	2.01
LV	1.95
RO	2.16
PL	2.01
CZ	2.13
EL	2.52
BG	2.16
CY	2.06
