Country	Value
DK	2.5
DE	3.4
AT	3.5
SE	3.6
ES	3.9
FI	3.9
NL	4.1
SI	4.5
PT	4.6
LU	4.6
HU	4.7
SK	4.8
FR	5.0
IT	5.0
IE	5.0
BE	5.4
UK	5.4
EE	5.5
MT	5.5
LT	5.6
LV	5.6
RO	5.7
PL	5.7
CZ	5.8
EL	6.2
BG	6.8
CY	7.8
