Country	Value
DK	16.1
DE	14.3
AT	14.7
SE	14.9
ES	14.3
FI	15.2
NL	15.0
SI	14.2
PT	14.0
LU	13.9
HU	12.9
SK	14.0
FR	13.2
IT	13.3
IE	15.2
BE	14.6
UK	14.4
EE	13.6
MT	13.2
LT	13.2
LV	12.7
RO	13.0
PL	13.6
CZ	14.0
EL	11.0
BG	13.6
CY	12.4

