Country	Value
DK	10.1051
DE	8.5757
AT	8.9624
SE	9.9205
ES	8.5651
FI	9.1380
NL	9.0002
SI	8.1242
PT	7.4784
LU	8.8463
HU	7.4939
SK	7.2792
FR	7.8587
IT	7.7933
IE	8.7487
BE	8.0516
UK	8.2383
EE	8.2192
MT	8.7244
LT	8.1483
LV	8.0736
RO	8.6514
PL	8.0829
CZ	8.1083
EL	5.8430
BG	8.0224
CY	8.0473
