Country	Value
DK	8.4
DE	7.2
AT	7.7
SE	8.0
ES	7.5
FI	8.1
NL	7.7
SI	7.0
PT	6.8
LU	7.8
HU	5.8
SK	6.4
FR	7.2
IT	6.9
IE	7.4
BE	7.4
UK	7.3
EE	6.3
MT	7.2
LT	6.7
LV	6.2
RO	6.7
PL	7.1
CZ	6.4
EL	6.2
BG	5.5
CY	7.2
