Country	Value
DK	17.5
DE	16.4
AT	16.6
SE	16.0
ES	16.4
FI	16.4
NL	16.1
SI	14.6
PT	16.4
LU	15.7
HU	15.3
SK	14.8
FR	15.2
IT	16.0
IE	15.9
BE	16.2
UK	14.6
EE	14.5
MT	14.4
LT	14.5
LV	14.0
RO	14.3
PL	14.7
CZ	15.6
EL	14.4
BG	16.0
CY	15.3
