Country	Value
DK	-.4100
DE	-.0852
AT	-.1673
SE	-.2479
ES	-.1183
FI	-.2519
NL	-.2601
SI	-.0934
PT	-.0154
LU	-.0088
HU	.2070
SK	.0229
FR	.1348
IT	.0670
IE	-.1422
BE	-.0479
UK	-.0356
EE	.1027
MT	.0697
LT	.0865
LV	.1560
RO	.0979
PL	.0657
CZ	-.0563
EL	.5004
BG	.0837
CY	.1975

