Country	Year	CAPRP
Slovenia	2011	13.7
Portugal	2011	-2.1
"United Kingdom"	2011	0.5
Slovakia	2011	-1.1
France	2011	5.2
Greece	2011	-3.0
Netherlands	2011	-1.4
"Czech Republic"	2011	0.4
Germany	2011	-2.2
Spain	2011	-2.9
