Country	Year	CAPRI
Romania	2007	132
Slovakia	2007	109
Malta	2007	105
"United Kingdom"	2007	116
Sweden	2007	108
Italy	2007	99
Greece	2007	116
Portugal	2007	102
"Czech Republic"	2007	125
France	2007	109
Belgium	2007	104
Hungary	2007	110
Netherlands	2007	95
Finland	2007	108
Austria	2007	106
Ireland	2007	112
Spain	2007	105
Germany	2007	106
