Country	Year	CAPRP
Romania	2009	12.0
Slovakia	2009	4.4
Malta	2009	1.9
"United Kingdom"	2009	0.2
Sweden	2009	0.9
Italy	2009	2.3
Greece	2009	4.3
Portugal	2009	3.8
"Czech Republic"	2009	3.8
France	2009	2.5
Belgium	2009	3.1
Hungary	2009	0.0
Netherlands	2009	1.8
Finland	2009	1.9
Austria	2009	3.8
Spain	2009	2.5
Germany	2009	2.4
