Country	Year	CAPNP
Romania	2000	56.4
Sweden	2000	2.7
"United Kingdom"	2000	3.3
Belgium	2000	2.6
"Czech Republic"	2000	5.1
Germany	2000	2.4
Spain	2000	3.72
Finland	2000	2.9
France	2000	4.2
Greece	2000	4.2
Hungary	2000	8
Ireland	2000	5.5
Portugal	2000	3.4
Austria	2000	2
