Country	Year	CAPNP
Romania	2012	4.5
Sweden	2012	2.5
"United Kingdom"	2012	1
Slovakia	2012	3.6
Belgium	2012	3.0
"Czech Republic"	2012	2.8
Germany	2012	2.7
Spain	2012	1.31
Finland	2012	1.9
Greece	2012	2.1
Italy	2012	1.5
Netherlands	2012	1.4
Portugal	2012	1.4
Austria	2012	3.3
