Country	Year	CAPNP
Portugal	2012	1
"United Kingdom"	2012	2
Romania	2012	4.2
Slovakia	2012	3.6
Italy	2012	1.7
Netherlands	2012	1.5
Germany	2012	2.7
Spain	2012	1.23
"Czech Republic"	2012	2.1
Austria	2012	3.58
Greece	2012	0
