Country	Year	CAPRI
Romania	2012	163
Slovakia	2012	119
"United Kingdom"	2012	109
Sweden	2012	111
Italy	2012	99
Greece	2012	118
Portugal	2012	104
"Czech Republic"	2012	131
France	2012	113
Belgium	2012	104
Hungary	2012	105
Netherlands	2012	96
Finland	2012	108
Austria	2012	108
Spain	2012	106
Germany	2012	109
