Country	Year	CAPNP
Romania	2009	18.3
Slovakia	2009	5.4
Malta	2009	3.8
"United Kingdom"	2009	2.4
Sweden	2009	2.8
Italy	2009	3.1
Greece	2009	5.71
Portugal	2009	2.9
"Czech Republic"	2009	4.4
France	2009	2.6
Belgium	2009	3.1
Hungary	2009	4
Netherlands	2009	2.8
Finland	2009	3.6
Spain	2009	2.24
Germany	2009	2.6
Austria	2009	3.4
