Country	Year	CAPRP
		
Sweden	2013	1.6
"United Kingdom"	2013	-1.6
Malta	2013	0.6
Slovakia	2013	2.0
Belgium	2013	0.7
"Czech Republic"	2013	1.4
Germany	2013	1.1
Spain	2013	-0.9
France	2013	-1.0
Italy	2013	0.2
Netherlands	2013	-1.1
Portugal	2013	0.6
Austria	2013	0.5
