Country	Year	CAPRI
Romania	2002	117
Malta	2002	102
"United Kingdom"	2002	110
Sweden	2002	104
Greece	2002	104
Portugal	2002	102
"Czech Republic"	2002	112
France	2002	104
Belgium	2002	103
Hungary	2002	107
Netherlands	2002	95
Finland	2002	101
Austria	2002	105
Ireland	2002	103
Spain	2002	102
Germany	2002	105
