Country	Year	CAPRP
Romania	2011	5.6
Slovakia	2011	-0.4
Malta	2011	-1.9
"United Kingdom"	2011	-2.5
Sweden	2011	0.2
Italy	2011	-1.2
Greece	2011	-2.2
Portugal	2011	-2.0
"Czech Republic"	2011	0.7
France	2011	-0.2
Belgium	2011	-0.9
Hungary	2011	1.0
Netherlands	2011	-1.3
Finland	2011	-0.9
Austria	2011	-1.5
Spain	2011	-0.4
Germany	2011	-0.5
