Country	Year	CAPNP
"United Kingdom"	2012	3
Slovakia	2012	2.3
Sweden	2012	3.4
Romania	2012	2.78
Slovenia	2012	1.8
Austria	2012	4.5
France	2012	1.70
Finland	2012	2.5
Netherlands	2012	1.7
"Czech Republic"	2012	2.7
Greece	2012	1.6
Denmark	2012	1.26
Germany	2012	2.9
Spain	2012	0.70
Italy	2012	2.6
