Country	Year	CAPRI
Romania	2004	123
Slovakia	2004	100
Malta	2004	102
"United Kingdom"	2004	114
Sweden	2004	105
Italy	2004	100
Greece	2004	107
Portugal	2004	102
"Czech Republic"	2004	118
France	2004	105
Belgium	2004	104
Hungary	2004	108
Netherlands	2004	95
Finland	2004	105
Ireland	2004	105
Spain	2004	103
Germany	2004	107
Austria	2004	104
