Country	Year	CAPRI
Romania	2010	157
Slovakia	2010	120
Malta	2010	103
"United Kingdom"	2010	114
Sweden	2010	109
Italy	2010	102
Greece	2010	119
Portugal	2010	108
"Czech Republic"	2010	131
France	2010	112
Belgium	2010	104
Hungary	2010	110
Netherlands	2010	98
Finland	2010	111
Austria	2010	108
Spain	2010	107
Germany	2010	109
