Country	Year	CAPRI
Romania	2008	132
Slovakia	2008	112
Malta	2008	102
"United Kingdom"	2008	116
Sweden	2008	108
Italy	2008	99
Greece	2008	118
Portugal	2008	103
"Czech Republic"	2008	124
France	2008	110
Belgium	2008	103
Hungary	2008	110
Netherlands	2008	96
Finland	2008	108
Ireland	2008	115
Spain	2008	105
Germany	2008	106
Austria	2008	105
