Country	Year	CAPRP
Romania	2012	1.1
Sweden	2012	1.6
"United Kingdom"	2012	-1.8
Slovakia	2012	-0.1
Belgium	2012	0.4
"Czech Republic"	2012	-0.7
Germany	2012	0.6
Spain	2012	-1.1
Finland	2012	-1.2
Greece	2012	1.1
Italy	2012	-1.8
Netherlands	2012	-1.4
Portugal	2012	-1.3
Austria	2012	0.7
