Country	Year	CAPRI
Romania	2006	120
Slovakia	2006	105
Malta	2006	103
"United Kingdom"	2006	115
Sweden	2006	107
Italy	2006	99
Greece	2006	113
Portugal	2006	102
"Czech Republic"	2006	123
France	2006	108
Belgium	2006	104
Hungary	2006	111
Netherlands	2006	95
Finland	2006	107
Ireland	2006	109
Spain	2006	104
Germany	2006	106
Austria	2006	105
