Country	Year	CAPNP
Slovenia	2008	6.7
Portugal	2008	3.7
"United Kingdom"	2008	3.9
Slovakia	2008	3.6
Greece	2008	8
Netherlands	2008	3.6
Cyprus	2008	2
Germany	2008	1.8
Spain	2008	2.63
