Country	Year	CAPRI
Romania	2005	126
Slovakia	2005	103
Malta	2005	102
"United Kingdom"	2005	115
Sweden	2005	106
Italy	2005	98
Greece	2005	110
Portugal	2005	102
"Czech Republic"	2005	121
France	2005	106
Belgium	2005	104
Hungary	2005	111
Netherlands	2005	95
Finland	2005	107
Ireland	2005	107
Spain	2005	104
Germany	2005	106
Austria	2005	104
