Country	Year	CAPNP
Romania	2008	15.2
Slovakia	2008	6.3
Malta	2008	4.1
"United Kingdom"	2008	3.2
Sweden	2008	3.2
Italy	2008	3.5
Greece	2008	6.2
Portugal	2008	3.1
"Czech Republic"	2008	5.4
France	2008	3.4
Belgium	2008	3.1
Hungary	2008	6.25
Netherlands	2008	3.3
Finland	2008	4.3
Austria	2008	3
Ireland	2008	6
Spain	2008	3.6
Germany	2008	2.9
