Country	Year	CAPNP
Romania	2004	12
Slovakia	2004	7
Malta	2004	2.8
"United Kingdom"	2004	3.22
Sweden	2004	1.8
Greece	2004	4.93
Portugal	2004	2.9
"Czech Republic"	2004	3.8
France	2004	3
Belgium	2004	2.3
Hungary	2004	7.5
Netherlands	2004	1.3
Finland	2004	2.4
Austria	2004	2
Ireland	2004	3.5
Spain	2004	3.6
Germany	2004	2
