Country	Year	CAPNP
Portugal	2000	4.1
"United Kingdom"	2000	3
Germany	2000	3
Spain	2000	3.91
Finland	2000	2.6
"Czech Republic"	2000	5
Austria	2000	1.8
Greece	2000	4.4
