Country	Year	CAPRP
Romania	2012	1.1
Slovakia	2012	-0.1
"United Kingdom"	2012	-1.8
Sweden	2012	1.6
Italy	2012	-1.8
Greece	2012	1.1
Portugal	2012	-1.3
"Czech Republic"	2012	-0.7
Belgium	2012	0.4
Netherlands	2012	-1.4
Finland	2012	-1.2
Austria	2012	0.7
Spain	2012	-1.1
Germany	2012	0.6
