Country	Year	CAPNP
Portugal	2011	1.4
Slovenia	2011	16.1
"United Kingdom"	2011	5
Slovakia	2011	2.9
"Czech Republic"	2011	2.5
Germany	2011	0.2
Spain	2011	0.08
France	2011	7.6
Greece	2011	0
Netherlands	2011	1
