Country	Year	CAPNP
Slovenia	2012	2.2
Portugal	2012	0.1
"United Kingdom"	2012	2.5
Slovakia	2012	2.6
Greece	2012	0
Netherlands	2012	1.1
"Czech Republic"	2012	2.3
Cyprus	2012	0
Germany	2012	2.5
Spain	2012	0.02
