Country	Year	CAPRI
Romania	2003	136
Malta	2003	103
"United Kingdom"	2003	112
Sweden	2003	104
Greece	2003	105
Portugal	2003	101
"Czech Republic"	2003	117
France	2003	104
Belgium	2003	104
Hungary	2003	107
Netherlands	2003	95
Finland	2003	103
Ireland	2003	104
Spain	2003	102
Germany	2003	106
Austria	2003	104
