Country	Year	CAPRI
Romania	2001	108
Malta	2001	101
"United Kingdom"	2001	107
Sweden	2001	104
Greece	2001	102
Portugal	2001	102
"Czech Republic"	2001	108
France	2001	106
Belgium	2001	101
Hungary	2001	103
Netherlands	2001	95
Finland	2001	101
Ireland	2001	104
Spain	2001	102
Germany	2001	104
Austria	2001	101
