Country	Year	CAPNP
Romania	2000	56.4
"United Kingdom"	2000	3.3
Sweden	2000	2.7
Greece	2000	4.2
Portugal	2000	3.4
"Czech Republic"	2000	5.1
France	2000	4.2
Belgium	2000	2.6
Hungary	2000	8
Finland	2000	2.9
Ireland	2000	5.5
Spain	2000	3.72
Germany	2000	2.4
Austria	2000	2
