Country	Year	CPENP
Romania	2000	70.1
Slovakia	2000	13.2
Malta	2000	6.7
"United Kingdom"	2000	5.6
Sweden	2000	7.3
Italy	2000	2.3
Greece	2000	6.0
Portugal	2000	6.3
"Czech Republic"	2000	7.9
France	2000	2.5
Cyprus	2000	6.0
Belgium	2000	2.1
Hungary	2000	15.0
Netherlands	2000	4.6
Finland	2000	3.8
Austria	2000	2.2
Ireland	2000	7.7
Spain	2000	2.8
Germany	2000	1.8
