Country	Year	CAPRI
Romania	1999	97
Sweden	1999	102
Greece	1999	101
Portugal	1999	101
"Czech Republic"	1999	106
France	1999	102
Belgium	1999	101
Hungary	1999	103
Netherlands	1999	98
Finland	1999	100
Ireland	1999	100
Spain	1999	100
Germany	1999	102
Austria	1999	102
