Country	Year	CAPNP
Romania	2011	11.7
Slovakia	2011	3.7
Malta	2011	0.5
"United Kingdom"	2011	1.83
Sweden	2011	1.6
Italy	2011	1.7
Greece	2011	0.8
Portugal	2011	1.5
"Czech Republic"	2011	2.9
France	2011	2.1
Belgium	2011	2.4
Hungary	2011	5
Netherlands	2011	1.1
Finland	2011	2.4
Spain	2011	2.62
Germany	2011	2
Austria	2011	2
