Country	Year	CAPNP
Sweden	2000	2.4
Portugal	2000	7.1
"United Kingdom"	2000	3.5
Spain	2000	3.93
Denmark	2000	2.4
Greece	2000	4.2
Germany	2000	2.5
"Czech Republic"	2000	5.1
Finland	2000	3.1
Austria	2000	3.7
