Country	Year	CAPRP
Slovenia	2012	-0.6
Portugal	2012	-2.6
"United Kingdom"	2012	-0.3
Slovakia	2012	-1.1
Greece	2012	-1.0
Netherlands	2012	-1.7
"Czech Republic"	2012	-1.2
Cyprus	2012	-3.0
Germany	2012	0.4
Spain	2012	-2.4
