Country	Year	CAPNP
Sweden	2000	2.5
Romania	2000	68.8
Finland	2000	2.8
Denmark	2000	3
Luxembourg	2000	5.05
Ireland	2000	5.5
Greece	2000	2
"Czech Republic"	2000	6.9
Austria	2000	1.6
Germany	2000	1.9
Spain	2000	2.37
