Country	Year	CAPNP
Romania	2002	54.6
Malta	2002	3.6
"United Kingdom"	2002	3.6
Sweden	2002	2.4
Greece	2002	5.34
Portugal	2002	3.8
"Czech Republic"	2002	5.2
France	2002	3.5
Belgium	2002	4.0
Hungary	2002	9.25
Netherlands	2002	3.6
Finland	2002	2.2
Austria	2002	2.5
Ireland	2002	4
Spain	2002	3.85
Germany	2002	2.7
