Country	Year	CAPNP
Romania	2002	54.6
Sweden	2002	2.4
"United Kingdom"	2002	3.6
Malta	2002	3.6
Belgium	2002	4.0
"Czech Republic"	2002	5.2
Germany	2002	2.7
Spain	2002	3.85
Finland	2002	2.2
France	2002	3.5
Greece	2002	5.34
Hungary	2002	9.25
Ireland	2002	4
Netherlands	2002	3.6
Portugal	2002	3.8
Austria	2002	2.5
