Country	Year	CAPNP
"United Kingdom"	2000	3
Sweden	2000	2.4
Austria	2000	1.9
France	2000	0.40
Finland	2000	3.8
Netherlands	2000	4.5
"Czech Republic"	2000	4.7
Greece	2000	5
Denmark	2000	2.4
Germany	2000	2.3
Spain	2000	2.85
