Country	Year	CAPRI
Romania	2011	160
Slovakia	2011	120
Malta	2011	101
"United Kingdom"	2011	111
Sweden	2011	109
Italy	2011	100
Greece	2011	117
Portugal	2011	106
"Czech Republic"	2011	132
France	2011	112
Belgium	2011	104
Hungary	2011	111
Netherlands	2011	97
Finland	2011	110
Austria	2011	107
Spain	2011	107
Germany	2011	109
