Country	Year	CAPRI
Romania	2009	155
Slovakia	2009	117
Malta	2009	102
"United Kingdom"	2009	116
Sweden	2009	109
Italy	2009	101
Greece	2009	123
Portugal	2009	107
"Czech Republic"	2009	128
France	2009	112
Belgium	2009	106
Hungary	2009	110
Netherlands	2009	98
Finland	2009	110
Austria	2009	109
Spain	2009	107
Germany	2009	109
