Year	CAPNP	CPENP
1999	3.7	-30.6
2000	4.4	6.0
2001	8	3.7
2002	5	11.4
2003		6.3
2004	6.6	4.2
2005	6	2.6
2006	6	2.4
2007	5.7	4.7
2008	7	3.6
2009	7	3.5
2010	0	-2.6
2011	0	-3.4
2012	0	-4.2
