Year	CAPNP
1998	
1999	2.5
2000	2
2001	2.6
2002	2.5
2003	2.2
2004	2
2005	2.3
2006	2.7
2007	2.5
2008	3
2009	3.4
2010	1.6
2011	2
2012	3.3
