Year	CAPNP	CPENP
1999	1.5	
2000		2.2
2001		1.2
2002	0.8	1.9
2003	2	1.6
2004	1.9	1.5
2005	2.3	2.4
2006		3.0
2007	2.4	3.1
2008	3.3	4.1
2009	3.55	0.0
2010	0.94	2.1
2011	0.85	1.9
2012	2.56	3.0
2013	1	
