Year	CAPNP	LCNP	LPNP
1999		-25.7	-20.6
2000		0.6	3.7
2001		2.8	2.7
2002		3.4	1.9
2003		4.1	1.6
2004		2.0	3.7
2005		2.4	2.2
2006	1.6	2.0	1.9
2007	2.3	1.6	2.8
2008	2.1	4.5	1.1
2009	3.9	4.0	-1.9
2010	3.2	-0.3	2.9
2011	2.0	1.0	1.4
2012	1.7	2.1	-0.5
