Year	LCRI	LPRI
1998		
1999	100.3	103.1
2000	98.9	107.2
2001	95.6	111.5
2002	101.8	112.8
2003	99.4	118.1
2004	98.7	120.4
2005	99.2	119.5
2006	95.8	123.8
2007	95.1	126.3
2008	95.4	124.5
2009	99.1	121.4
2010	97.8	118.4
2011	95.0	116.6
2012	89.8	119.5
