Year	CAPRP
1999	
2000	
2001	
2002	0.1
2003	-2.1
2004	-2.3
2005	6.7
2006	-0.7
2007	-1.6
2008	8.8
2009	3.5
2010	-1.7
2011	1.5
2012	-2.2
2013	
