Year	LCNP
1998	
1999	-15.1
2000	2.5
2001	6.5
2002	2.2
2003	1.3
2004	1.2
2005	2.3
2006	1.3
2007	1.6
2008	9.4
2009	7.3
2010	1.6
2011	3.3
2012	3.2
