Year	LPRI
1998	
1999	103.1
2000	107.2
2001	111.5
2002	112.8
2003	118.1
2004	120.4
2005	119.5
2006	123.8
2007	126.3
2008	124.5
2009	121.4
2010	118.4
2011	116.6
2012	119.5
