Year	CAPNP	LPNP
1999		
2000		2.7
2001		2.4
2002	2	2.6
2003	0	2.8
2004	0	4.1
2005	8.7	3.1
2006	1.2	3.5
2007	0	3.5
2008	12.2	2.0
2009	3.6	-1.2
2010	0	2.8
2011	3.8	2.6
2012	0	1.8
2013		
