Year	LCNP	LPNP
1999		
2000	0.5	6.1
2001	4.4	2.3
2002	3.3	2.7
2003	2.3	3.1
2004	0.4	5.3
2005	2.2	4.3
2006	2.2	3.4
2007	4.8	1.1
2008	6.1	1.7
2009	6.1	-2.7
2010	-1.0	8.2
2011	0.4	2.1
2012	0.2	2.1
2013		
