Year	CAPNP
1999	0.7
2000	2.5
2001	1.7
2002	3.5
2003	1.2
2004	2.4
2005	1.8
2006	2.1
2007	1.9
2008	2.0
2009	3.9
2010	0.9
2011	1.4
2012	3.7
2013	2.5
