Year	CAPNP	LPNP
1999	3.7	-37.9
2000	4.4	7.5
2001	8	7.3
2002	5	4.6
2003		8.8
2004	6.6	4.9
2005	6	2.1
2006	6	6.0
2007	5.7	5.5
2008	7	3.2
2009	7	-0.3
2010	0	-1.3
2011	0	-0.5
2012	0	1.4
