Year	LCNI
1998	
1999	103.4
2000	105.3
2001	105.0
2002	115.6
2003	117.4
2004	120.0
2005	123.9
2006	122.6
2007	125.7
2008	132.1
2009	140.3
2010	140.1
2011	137.6
2012	128.6
