Year	CAPNP	CPENP
1999	3.2	-16.7
2000	1.9	1.8
2001	1.8	1.7
2002	2	1.3
2003	3.1	1.4
2004	1.8	0.3
2005	0.9	-0.1
2006	0.4	1.0
2007	0.4	0.8
2008	4.7	2.1
2009	3.8	0.2
2010	0.4	2.4
2011	1.6	3.0
2012	2.4	2.5
