Year	CAPNP
1999	0.2
2000	3.9
2001	2.5
2002	4.0
2003	0.5
2004	2.7
2005	2.2
2006	2.3
2007	3.2
2008	5.5
2009	1.6
2010	0.7
2011	3.2
2012	2.0
2013	0.5
