Year	CAPNP
1999	
2000	
2001	3.7
2002	4.1
2003	4.6
2004	2.5
2005	5.1
2006	5.2
2007	4
2008	1.6
2009	1.7
2010	2.5
2011	0.5
2012	
2013	
