Year	CAPNP	CPENP
1999	2.3	
2000	1.9	2.2
2001	2.9	1.2
2002	1.3	1.9
2003	2.3	1.6
2004	2.2	1.5
2005	3.1	2.4
2006	2.8	3.0
2007	2.9	3.1
2008	3.9	4.1
2009	2.6	0.0
2010	1.19	2.1
2011	3.15	1.9
2012	4.5	3.0
2013	4.5	
