Year	CAPRP	LCRP
1999		
2000	1.3	1.2
2001	0.1	0.3
2002	0.7	-0.5
2003	0.1	0.8
2004	2.0	-1.5
2005		1.0
2006	0.5	-1.8
2007	2.4	-1.6
2008	3.0	1.9
2009	4.3	2.2
2010	1.8	-2.1
2011	0.1	-1.2
2012	-1.8	-3.7
2013	0.7	
